director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Zack SnyderKevin Munroe,Henry CavillChris Murphy,Lauren CohanIan James Corlett,Alan D. PurwinMatt Olsen,Action Adventure Sci-FiAnimation Adventure Comedy Action Family,batman v superman: dawn of justicesly cooper,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-FiChris Murphy Ian James Corlett Matt Olsen Kevin Munroe Animation Adventure Comedy Action Family
Bryan SingerJames Ponsoldt,Kevin SpaceyEmma Watson,Marlon BrandoTom Hanks,Frank LangellaJohn Boyega,Action Adventure Sci-FiDrama Thriller Sci-Fi,superman returnsthe circle,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-FiEmma Watson Tom Hanks John Boyega James Ponsoldt Drama Thriller Sci-Fi
Marc ForsterTrish Sie,Giancarlo GianniniAnna Kendrick,Mathieu AmalricRebel Wilson,Rory KinnearBrittany Snow,Action AdventureComedy,quantum of solacepitch perfect 3,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action AdventureAnna Kendrick Rebel Wilson Brittany Snow Trish Sie Comedy
Gore VerbinskiSean Byrne,Johnny DeppEthan Embry,Ruth WilsonShiri Appleby,Tom WilkinsonKiara Glasco,Action Adventure WesternHorror,the lone rangerthe devil's candy,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure WesternEthan Embry Shiri Appleby Kiara Glasco Sean Byrne Horror
Zack SnyderRoberto Doveris,Henry CavillVioleta Castillo,Christopher MeloniIngrid Isensee,Harry LennixMauricio Vaca,Action Adventure Fantasy Sci-FiDrama,man of steellas plantas,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-FiVioleta Castillo Ingrid Isensee Mauricio Vaca Roberto Doveris Drama
Andrew AdamsonLloyd Kaufman,Peter DinklageAsta Paredes,Pierfrancesco FavinoCatherine Corcoran,Damián AlcázarZac Amino,Action Adventure Family FantasyComedy Horror,"the chronicles of narnia: prince caspianreturn to return to nuke 'em high, aka volume 2",Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family FantasyAsta Paredes Catherine Corcoran Zac Amino Lloyd Kaufman Comedy Horror
Joss WhedonDavid Jackson,Chris HemsworthAmanda Leighton,Robert Downey Jr.Samantha Boscarino,Scarlett JohanssonHannah Kasulka,Action Adventure Sci-FiTV Movie Thriller,the avengersthe cheerleader murders,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-FiAmanda Leighton Samantha Boscarino Hannah Kasulka David Jackson TV Movie Thriller
Rob MarshallDemetri Martin,Johnny DeppDemetri Martin,Sam ClaflinGillian Jacobs,Stephen GrahamChristine Woods,Action Adventure FantasyComedy,pirates of the caribbean: on stranger tidesdean,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure FantasyDemetri Martin Gillian Jacobs Christine Woods Demetri Martin Comedy
Barry SonnenfeldAlexandre Bustillo Julien Maury,Will SmithStephen Dorff,Michael StuhlbargLili Taylor,Nicole ScherzingerSam Strike,Action Adventure Comedy Family Fantasy Sci-FiHorror,men in black 3leatherface,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-FiStephen Dorff Lili Taylor Sam Strike Alexandre Bustillo Julien Maury Horror
Peter JacksonJohannes Roberts,Aidan TurnerClaire Holt,Adam BrownMandy Moore,James NesbittChris Johnson,Adventure FantasyDrama Thriller Horror Adventure,the hobbit: the battle of the five armies47 meters down,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure FantasyClaire Holt Mandy Moore Chris Johnson Johannes Roberts Drama Thriller Horror Adventure
Marc WebbGabe Klinger,Emma StoneLucie Lucas,Andrew GarfieldAnton Yelchin,Chris ZylkaPaulo Calatré,Action Adventure FantasyRomance Drama,the amazing spider-manporto,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure FantasyLucie Lucas Anton Yelchin Paulo Calatré Gabe Klinger Romance Drama
Ridley ScottAaron Leong,Mark AddySean O'Donnell,William HurtAlexandria DeBerry,Scott GrimesGary Busey,Action Adventure Drama HistoryComedy Drama Family Fantasy Romance Sci-Fi,robin hoodmamaboy,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama HistorySean O'Donnell Alexandria DeBerry Gary Busey Aaron Leong Comedy Drama Family Fantasy Romance Sci-Fi
Chris WeitzTerry George,Christopher LeeOscar Isaac,Eva GreenCharlotte Le Bon,Kristin Scott ThomasChristian Bale,Adventure Family FantasyHistory Romance Drama,the golden compassthe promise,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family FantasyOscar Isaac Charlotte Le Bon Christian Bale Terry George History Romance Drama
Peter JacksonBenny Boom,Naomi WattsDemetrius Shipp Jr.,Thomas KretschmannDanai Gurira,Evan ParkeKat Graham,Action Adventure Drama RomanceDrama Music,king kongall eyez on me,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action Adventure Drama RomanceDemetrius Shipp Jr. Danai Gurira Kat Graham Benny Boom Drama Music
James CameronNacho Vigalondo,Leonardo DiCaprioAnne Hathaway,Kate WinsletJason Sudeikis,Gloria StuartTim Blake Nelson,Drama RomanceAction Comedy Drama Fantasy Sci-Fi,titaniccolossal,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama RomanceAnne Hathaway Jason Sudeikis Tim Blake Nelson Nacho Vigalondo Action Comedy Drama Fantasy Sci-Fi
Peter BergDerrick Borte,Liam NeesonJonathan Rhys Meyers,Alexander SkarsgårdDaniel Huttlestone,Tadanobu AsanoDougray Scott,Action Adventure Sci-Fi ThrillerDrama Music,battleshiplondon town,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi ThrillerJonathan Rhys Meyers Daniel Huttlestone Dougray Scott Derrick Borte Drama Music
Colin TrevorrowMartin Koolhoven,Bryce Dallas HowardGuy Pearce,Judy GreerDakota Fanning,Omar SyCarice van Houten,Action Adventure Sci-Fi ThrillerMystery Thriller Western,jurassic worldbrimstone,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi ThrillerGuy Pearce Dakota Fanning Carice van Houten Martin Koolhoven Mystery Thriller Western
Sam MendesAlex Helfrecht Jörg Tittel,Albert FinneyAgyness Deyn,Helen McCroryJonathan Pryce,Rory KinnearFiona Shaw,Action Adventure ThrillerDrama Sci-Fi,skyfallthe white king,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure ThrillerAgyness Deyn Jonathan Pryce Fiona Shaw Alex Helfrecht Jörg Tittel Drama Sci-Fi
Sam RaimiLaura Poitras,J.K. SimmonsJulian Assange,James FrancoSarah Harrison,Kirsten DunstJacob Appelbaum,Action Adventure Fantasy RomanceDocumentary,spider-man 2risk,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy RomanceJulian Assange Sarah Harrison Jacob Appelbaum Laura Poitras Documentary
Tim BurtonEddie O'Keefe,Johnny DeppEmily Browning,Alan RickmanLuke Grimes,Anne HathawayRon Livingston,Adventure Family FantasyRomance Drama Crime,alice in wonderlandshangri-la suite,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure Family FantasyEmily Browning Luke Grimes Ron Livingston Eddie O'Keefe Romance Drama Crime
Brett RatnerRalitza Petrova,Hugh JackmanIrena Ivanova,Kelsey GrammerIvan Nalbantov,Daniel CudmoreVentzislav Konstantinov,Action Adventure Fantasy Sci-Fi ThrillerDrama,x-men: the last standgodless,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi ThrillerIrena Ivanova Ivan Nalbantov Ventzislav Konstantinov Ralitza Petrova Drama
Dan ScanlonPeter Chelsom,Steve BuscemiAsa Butterfield,Tyler LabineBritt Robertson,Sean HayesCarla Gugino,Adventure Animation Comedy Family FantasyRomance Adventure Sci-Fi Drama,monsters universitythe space between us,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family FantasyAsa Butterfield Britt Robertson Carla Gugino Peter Chelsom Romance Adventure Sci-Fi Drama
Michael BayRaoul Peck,Bingbing LiSamuel L. Jackson,Sophia MylesJames Baldwin,Kelsey GrammerMalcolm X,Action Adventure Sci-FiDocumentary,transformers: age of extinctioni am not your negro,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-FiSamuel L. Jackson James Baldwin Malcolm X Raoul Peck Documentary
Marc WebbLasse Hallström,Emma StoneDennis Quaid,Andrew GarfieldBritt Robertson,B.J. NovakJosh Gad,Action Adventure Fantasy Sci-FiComedy Drama Family Fantasy,the amazing spider-man 2a dog's purpose,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-FiDennis Quaid Britt Robertson Josh Gad Lasse Hallström Comedy Drama Family Fantasy
Joseph KosinskiJulian Rosefeldt,Jeff BridgesCate Blanchett,Olivia WildeErika Bauer,James FrainRuby Bustamante,Action Adventure Sci-FiDrama,tron: legacymanifesto,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action Adventure Sci-FiCate Blanchett Erika Bauer Ruby Bustamante Julian Rosefeldt Drama
John LasseterJeff Baena,Joe MantegnaAlison Brie,Thomas KretschmannDave Franco,Eddie IzzardAubrey Plaza,Adventure Animation Comedy Family SportComedy,cars 2the little hours,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family SportAlison Brie Dave Franco Aubrey Plaza Jeff Baena Comedy
Martin CampbellRichie Keen,Ryan ReynoldsCharlie Day,Temuera MorrisonIce Cube,Taika WaititiTracy Morgan,Action Adventure Sci-FiComedy,green lanternfist fight,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-FiCharlie Day Ice Cube Tracy Morgan Richie Keen Comedy
Lee UnkrichBaran bo Odar,Tom HanksJamie Foxx,John RatzenbergerMichelle Monaghan,Don RicklesDermot Mulroney,Adventure Animation Comedy Family FantasyAction Crime Thriller,toy story 3sleepless,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family FantasyJamie Foxx Michelle Monaghan Dermot Mulroney Baran bo Odar Action Crime Thriller
McGGore Verbinski,Christian BaleDane DeHaan,Bryce Dallas HowardJason Isaacs,CommonMia Goth,Action Adventure Sci-FiMystery Thriller Horror Sci-Fi,terminator salvationa cure for wellness,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-FiDane DeHaan Jason Isaacs Mia Goth Gore Verbinski Mystery Thriller Horror Sci-Fi
James WanCharlotte Sieling,Jason StathamJakob Oftebro,Paul WalkerAne Dahl Torp,Vin DieselSøren Malling,Action Crime ThrillerDrama Comedy,furious 7the man,Jason Statham Paul Walker Vin Diesel James Wan Action Crime ThrillerJakob Oftebro Ane Dahl Torp Søren Malling Charlotte Sieling Drama Comedy
Marc ForsterD.J. Caruso,Peter CapaldiVin Diesel,Brad PittIce Cube,Mireille EnosSamuel L. Jackson,Action Adventure Horror Sci-Fi ThrillerAction Adventure Crime,world war zxxx: return of xander cage,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi ThrillerVin Diesel Ice Cube Samuel L. Jackson D.J. Caruso Action Adventure Crime
Bryan SingerStacy Title,Jennifer LawrenceDouglas Smith,Peter DinklageLucien Laviscount,Hugh JackmanCressida Bonas,Action Adventure Fantasy Sci-Fi ThrillerHorror Thriller,x-men: days of future pastthe bye bye man,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi ThrillerDouglas Smith Lucien Laviscount Cressida Bonas Stacy Title Horror Thriller
J.J. AbramsAlice Lowe,Benedict CumberbatchAlice Lowe,Bruce GreenwoodJo Hartley,Noel ClarkeKate Dickie,Action Adventure Sci-FiHorror Comedy Drama Thriller Fantasy,star trek into darknessprevenge,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-FiAlice Lowe Jo Hartley Kate Dickie Alice Lowe Horror Comedy Drama Thriller Fantasy
Bryan SingerChris McKay,Eddie MarsanWill Arnett,Ewen BremnerZach Galifianakis,Ralph BrownMichael Cera,Adventure FantasyAction Animation Comedy Family Fantasy,jack the giant slayerthe lego batman movie,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure FantasyWill Arnett Zach Galifianakis Michael Cera Chris McKay Action Animation Comedy Family Fantasy
Baz LuhrmannStephan Streker,Leonardo DiCaprioLina El Arabi,Elizabeth DebickiSébastien Houbani,Steve BisleyBabak Karimi,Drama RomanceDrama,the great gatsbya wedding,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama RomanceLina El Arabi Sébastien Houbani Babak Karimi Stephan Streker Drama
Mike NewellStanley Tong,Jake GyllenhaalJackie Chan,Richard CoyleDisha Patani,Reece RitchieSonu Sood,Action Adventure Fantasy RomanceMystery Action Adventure Comedy,prince of persia: the sands of timekung fu yoga,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy RomanceJackie Chan Disha Patani Sonu Sood Stanley Tong Mystery Action Adventure Comedy
Guillermo del ToroVishal Bhardwaj,Charlie HunnamSaif Ali Khan,Clifton Collins Jr.Shahid Kapoor,Larry Joe CampbellKangana Ranaut,Action Adventure Sci-FiWar History Drama Romance,pacific rimrangoon,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-FiSaif Ali Khan Shahid Kapoor Kangana Ranaut Vishal Bhardwaj War History Drama Romance
Michael BayG.J. Echternkamp,Glenn MorshowerManu Bennett,Lester SpeightMalcolm McDowell,Kevin DunnMarci Miller,Action Adventure Sci-FiAction Comedy Sci-Fi,transformers: dark of the moondeath race 2050,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-FiManu Bennett Malcolm McDowell Marci Miller G.J. Echternkamp Action Comedy Sci-Fi
Steven SpielbergAdam Smith,Harrison FordMichael Fassbender,Ray WinstoneBrendan Gleeson,Jim BroadbentLyndsey Marshal,Action Adventure FantasyAction Drama Crime Thriller,indiana jones and the kingdom of the crystal skulltrespass against us,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure FantasyMichael Fassbender Brendan Gleeson Lyndsey Marshal Adam Smith Action Drama Crime Thriller
Peter SohnLisa Robinson Annie J. Howell,A.J. BuckleyBetsy Brandt,Jack McGrawChris Beetem,Peter SohnZev Haworth,Adventure Animation Comedy Family FantasyDrama,the good dinosaurclaire in motion,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family FantasyBetsy Brandt Chris Beetem Zev Haworth Lisa Robinson Annie J. Howell Drama
Mark AndrewsEmily Hagins,Kelly MacdonaldAlex Saxon,John RatzenbergerAlexis G. Zall,Julie WaltersSasha Pieterse,Adventure Animation Comedy Family FantasyFamily Crime,bravecoin heist,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family FantasyAlex Saxon Alexis G. Zall Sasha Pieterse Emily Hagins Family Crime
Justin LinF. Javier Gutiérrez,Sofia BoutellaMatilda Anna Ingrid Lutz,Melissa RoxburghAlex Roe,Lydia WilsonJohnny Galecki,Action Adventure Sci-Fi ThrillerHorror,star trek beyondrings,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi ThrillerMatilda Anna Ingrid Lutz Alex Roe Johnny Galecki F. Javier Gutiérrez Horror
Andrew StantonAlistair Legrand,John RatzenbergerVinessa Shaw,Fred WillardKevin Rahm,Jeff GarlinAaron Stanford,Adventure Animation Family Sci-FiThriller,wall·eclinical,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-FiVinessa Shaw Kevin Rahm Aaron Stanford Alistair Legrand Thriller
Roland EmmerichBruno Garotti,Oliver PlattMichel Joelsas,Liam JamesAlessandra Negrini,Tom McCarthyMarcello Airoldi,Action Adventure Sci-FiComedy,2012eu fico loko,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-FiMichel Joelsas Alessandra Negrini Marcello Airoldi Bruno Garotti Comedy
Robert ZemeckisAram Rappaport,Robin WrightFrank Grillo,Colin FirthMinnie Driver,Gary OldmanAnnaSophia Robb,Animation Drama Family FantasyCrime Thriller,a christmas carolthe crash,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family FantasyFrank Grillo Minnie Driver AnnaSophia Robb Aram Rappaport Crime Thriller
Lana WachowskiTatsuya Oishi Akiyuki Shinbo,Channing TatumHiroshi Kamiya,Mila KunisYui Horie,Eddie RedmayneMaaya Sakamoto,Action Adventure Sci-FiAnimation Fantasy Mystery,jupiter ascendingkizumonogatari part 3: reiketsu,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-FiHiroshi Kamiya Yui Horie Maaya Sakamoto Tatsuya Oishi Akiyuki Shinbo Animation Fantasy Mystery
David YatesChad Stahelski,Christoph WaltzKeanu Reeves,Alexander SkarsgårdCommon,Casper CrumpLaurence Fishburne,Action Adventure Drama RomanceThriller Action Crime,the legend of tarzanjohn wick: chapter 2,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama RomanceKeanu Reeves Common Laurence Fishburne Chad Stahelski Thriller Action Crime
Andrew AdamsonJordan Peele,Jim BroadbentDaniel Kaluuya,Kiran ShahAllison Williams,Shane RangiBradley Whitford,Adventure Family FantasyMystery Thriller Horror,"the chronicles of narnia: the lion, the witch and the wardrobeget out",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family FantasyDaniel Kaluuya Allison Williams Bradley Whitford Jordan Peele Mystery Thriller Horror
Bryan SingerJames Mangold,Jennifer LawrenceHugh Jackman,Michael FassbenderPatrick Stewart,Tye SheridanDafne Keen,Action Adventure Sci-FiAction Drama Sci-Fi,x-men: apocalypselogan,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-FiHugh Jackman Patrick Stewart Dafne Keen James Mangold Action Drama Sci-Fi
Christopher NolanJordan Vogt-Roberts,Christian BaleTom Hiddleston,Heath LedgerSamuel L. Jackson,Morgan FreemanBrie Larson,Action Crime Drama ThrillerAction Adventure Fantasy,the dark knightkong: skull island,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama ThrillerTom Hiddleston Samuel L. Jackson Brie Larson Jordan Vogt-Roberts Action Adventure Fantasy
Pete DocterPete Travis,John RatzenbergerRiz Ahmed,Delroy LindoBillie Piper,Jess HarnellJames Floyd,Adventure Animation Comedy FamilyCrime Drama Thriller,upcity of tiny lights,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy FamilyRiz Ahmed Billie Piper James Floyd Pete Travis Crime Drama Thriller
Rob LettermanDanny Boyle,Amy PoehlerEwan McGregor,Rainn WilsonJonny Lee Miller,Stephen ColbertEwen Bremner,Action Adventure Animation Comedy Family Sci-FiCrime Drama,monsters vs. alienst2 trainspotting,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-FiEwan McGregor Jonny Lee Miller Ewen Bremner Danny Boyle Crime Drama
Jon FavreauShane Abbess,Robert Downey Jr.Kellan Lutz,Jeff BridgesDaniel MacPherson,Jon FavreauIsabel Lucas,Action Adventure Sci-FiSci-Fi,iron manscience fiction volume one: the osiris child,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-FiKellan Lutz Daniel MacPherson Isabel Lucas Shane Abbess Sci-Fi
Martin ScorseseRy Russo-Young,Chloë Grace MoretzZoey Deutch,Christopher LeeHalston Sage,Ray WinstoneLogan Miller,Adventure Drama Family MysteryMystery Drama Thriller,hugobefore i fall,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family MysteryZoey Deutch Halston Sage Logan Miller Ry Russo-Young Mystery Drama Thriller
Barry SonnenfeldMichael Showalter,Will SmithKumail Nanjiani,Salma HayekZoe Kazan,Bai LingHolly Hunter,Action Comedy Sci-Fi WesternComedy Drama Romance,wild wild westthe big sick,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi WesternKumail Nanjiani Zoe Kazan Holly Hunter Michael Showalter Comedy Drama Romance
Rob CohenMatt Spicer,Jet LiAubrey Plaza,Brendan FraserElizabeth Olsen,Russell WongO'Shea Jackson Jr.,Action Adventure Fantasy Horror ThrillerDrama Comedy,the mummy: tomb of the dragon emperoringrid goes west,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror ThrillerAubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Matt Spicer Drama Comedy
David AyerMacon Blair,Will SmithMelanie Lynskey,Robin Atkin DownesElijah Wood,Ike BarinholtzDavid Yow,Action Adventure Comedy Sci-FiComedy Crime Drama Thriller,suicide squadi don't feel at home in this world anymore,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-FiMelanie Lynskey Elijah Wood David Yow Macon Blair Comedy Crime Drama Thriller
Tom ShadyacGuy Ritchie,Jimmy BennettCharlie Hunnam,Morgan FreemanAstrid Bergès-Frisbey,Steve CarellJude Law,Comedy Family FantasyAction Drama Fantasy,evan almightyking arthur: legend of the sword,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family FantasyCharlie Hunnam Astrid Bergès-Frisbey Jude Law Guy Ritchie Action Drama Fantasy
Doug LimanBill Condon,Tom CruiseEmma Watson,Lara PulverDan Stevens,Noah TaylorLuke Evans,Action Adventure Sci-FiFamily Fantasy Romance,edge of tomorrowbeauty and the beast,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-FiEmma Watson Dan Stevens Luke Evans Bill Condon Family Fantasy Romance
Kevin ReynoldsChester Tam,Jeanne TripplehornStella Maeve,Rick AvilesAndy Samberg,Zakes MokaeJosh Peck,Action Adventure Sci-Fi ThrillerComedy,waterworldtake the 10,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi ThrillerStella Maeve Andy Samberg Josh Peck Chester Tam Comedy
Stephen SommersTom McGrath,Joseph Gordon-LevittAlec Baldwin,Dennis QuaidMiles Bakshi,Leo HowardJimmy Kimmel,Action Adventure Sci-Fi ThrillerAnimation Comedy Family,g.i. joe: the rise of cobrathe boss baby,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi ThrillerAlec Baldwin Miles Bakshi Jimmy Kimmel Tom McGrath Animation Comedy Family
Pete DocterJay Oliva,Amy PoehlerMatt Ryan,Mindy KalingJason O'Mara,Phyllis SmithCamilla Luddington,Adventure Animation Comedy Drama Family FantasyAction Animation Fantasy Sci-Fi Thriller,inside outjustice league dark,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family FantasyMatt Ryan Jason O'Mara Camilla Luddington Jay Oliva Action Animation Fantasy Sci-Fi Thriller
Jon FavreauSotiris Tsafoulias,Scarlett JohanssonPigmalion Dadakaridis,Bill MurrayDimitris Katalifos,Garry ShandlingManos Vakousis,Adventure Drama Family FantasyThriller Mystery,the jungle bookthe other me,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family FantasyPigmalion Dadakaridis Dimitris Katalifos Manos Vakousis Sotiris Tsafoulias Thriller Mystery
Rupert SandersLuca Guadagnino,Chris HemsworthTimothée Chalamet,Kristen StewartArmie Hammer,Sam ClaflinMichael Stuhlbarg,Action Adventure Drama FantasyRomance Drama,snow white and the huntsmancall me by your name,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama FantasyTimothée Chalamet Armie Hammer Michael Stuhlbarg Luca Guadagnino Romance Drama
